First Name,Last Name,Affiliation,Country
Joseph,Liu,Monash University,Australia
Xingye,Lu,The Hong Kong Polytechnic University,Hong Kong SAR
Fangguo,Zhang,Sun Yat-sen University,China
Mingwu,Zhang,Hubei University of Technology,China
Nada,El Kassem,University of Surrey,UK
Khoa,Nguyen,University of Wollongong,Australia
Tsuyoshi,Takagi,The University of Tokyo,Japan
Liang,Zhao,Sichuan University,China
Liqun,Chen,University of Surrey,UK
Daniel,Slamanig,UniversitÃ¤t der Bundeswehr MÃ¼nchen,Germany
Xiaoning,Liu,RMIT University,Australia
Koutarou,Suzuki,Toyohashi University of Technology,Japan
Xianhui,Lu,Chinese Academy of Sciences,China
Yangguang,Tian,University of Surrey,UK
Keita,Emura,Kanazawa University,Japan
Dongxi,Liu,Data 61,Australia
Xinyi,Huang,Hong Kong University of Science and Technology,China
Jie,Chen,East China Normal University,China
Willy,Susilo,University of Wollongong,Australia
Hui,Cui,Monash University,Australia
Shabnam,Kasra Kermanshahi,UNSW Canberra,Australia
Cheng-Kang,Chu,Huawei,Singapore
Haiyang,Xue,The Hong Kong Polytechnic University,Hong Kong SAR
Shi-Feng,Sun,Shanghai Jiao Tong University,China
Lei,Zhang,East China Normal University,China
Guomin,Yang,Singapore Management University,Singapore
Yang,Li,The University of Electro-Communications,Japan
Junqing,Gong,East China Normal University,China
Jinguang,Han,Southeast University,China
Yuntao,Wang,The University of Electro-Communications,Japan
Kirill,Morozov,University of North Texas,US
Shi,Bai,Florida Atlantic University,US
Fagen,Li,University of Electronic Science and Technology of China,China
Olivier,Sanders,Orange Labs,France
Atsushi,Takayasu,The University of Tokyo,Japan
Peng,Xu,Huazhong University of Science and Technology,China
Zhe,Xia,Wuhan University of Technology,China
Elena,Andreeva,TU Wien,Austria
Zuoxia,Yu,University of Wollongong,Australia
Yannan,Li,University of Wollongong,Australia
Sabyasachi,Karati,Indian Statistical Institute,India
Lei,Wang,Shanghai Jiao Tong University,China
Baodong,Qin,Xi'an University of Posts and Telecommunications,China
Man Ho,Au,The Hong Kong Polytechnic University,Hong Kong SAR
Yu,Chen,Shandong University,China
Guang,Gong,University of Waterloo,Canada
Zhen,Liu,Shanghai Jiao Tong University,China